repo_id	url	default_branch	commit	commit_date_utc	git_tree_sha	blob_count	recursive_tree_truncated	license_path	license_declared	spdx_status	license_sha256	acquisition_archive_sha256	acquisition_archive_bytes
curl	https://github.com/curl/curl.git	master	81787b0b34c496c46870751f6ca438346036d7a0	2026-09-07T22:05:10Z	5043006f6a171dd2edaa698568a90896ade92824	4490	false	COPYING	curl license (text evidence)	UNAVAILABLE: GitHub API NOASSERTION; text is present	82f2f4427d6545ee5aaac4f0b80428da6cc8ba41c2cf5da3a03680ec327b9681	05cc306a7d4b00052f436c4b469b368d75b5f568d514742cc30142484b8eba34	3699071
ripgrep	https://github.com/BurntSushi/ripgrep.git	master	3fce3b5bb0236da2df6d99672afb8a719642eca7	2026-08-04T14:00:08Z	856ed9162d23416ee7dc5f4389975b54ca062f60	237	false	COPYING	Unlicense OR MIT	AVAILABLE: Unlicense OR MIT	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	e2c23831f1057a7e15575a72a64a900b317a86661561a786a36795717d602561	632386
jq	https://github.com/jqlang/jq.git	master	9d241e277204b83c4a7ddc7d733e5c72f99ef500	2026-09-01T06:30:46Z	a35a9454bff26f1b7a94d8401ddef014249b3e2a	428	false	COPYING	MIT-like permissive text (text evidence)	UNAVAILABLE: GitHub API NOASSERTION; text is present	ad2b4a266b2268939c1446979759706077421cf906a203aa188c6f396e8cfd74	bc1e9a3976614b379c4a549a57d62f6c53b9fd32a2671fa7b8baf1a308280dd8	1459469
