# schema=observation-series-v1
# window=15m; timezone=UTC; interval=[start,end); counts are source rows, not inferred health states
# missing source rows are UNKNOWN/coverage loss, never zero-valued measurements
window_start	window_end	chat_rows	health_observation_rows	witness_rows	sensor_rows
2026-09-08T10:00:00Z	2026-09-08T10:15:00Z	67	2	8	9
2026-09-08T10:15:00Z	2026-09-08T10:30:00Z	35	5	7	9
2026-09-08T10:30:00Z	2026-09-08T10:45:00Z	47	0	8	9
2026-09-08T10:45:00Z	2026-09-08T11:00:00Z	83	2	7	9
2026-09-08T11:00:00Z	2026-09-08T11:15:00Z	126	0	8	9
2026-09-08T11:15:00Z	2026-09-08T11:30:00Z	40	5	7	9
2026-09-08T11:30:00Z	2026-09-08T11:45:00Z	37	2	8	9
2026-09-08T11:45:00Z	2026-09-08T12:00:00Z	160	29	7	9
