repository	stratum	commit	candidate_files	included_files	excluded_files	included_bytes	line_count	token_count	identifier_count	vocabulary_size	comment_line_count	test_marker_line_count	error_handling_line_count	parse_files	parse_errors	python_files	parse_node_count	import_count	import_count_missing_files	declaration_count	declaration_count_missing_files
lte-workstation	all-languages	e8f47364e5a0f224c1bd03331df592272a187df5	1475	580	895	5192514	86097	742699	742699	23558	10422	9351	295	10	0	10	12878	135	487	166	545
tiny-fleet	all-languages	991b08f6e9e68ae8743ee92f5bcebbed2254324b	40	26	14	144517	3351	16566	16566	2481	259	140	24	9	0	9	9130	52	17	51	17
